block,timestamp,timestamp_iso,venue,path,out_token,usdt_equiv,oracle_median,edge_vs_oracle_bps,rank_metric,rank_order
59122529,1756340161,2025-08-28 00:16:01Z,uniswap_v3,ETH->WBNB->USDT (500/100),USDT,4515.931075370124,4516.770229895001,-1.8578640979405314,edge,1
59122529,1756340161,2025-08-28 00:16:01Z,combo_best_then_wombat,ETH->WBNB->USDT (500/100) -> (WombatRouter) USDT->USDC,USDC,4511.393309829647,4516.770229895001,-11.904347114595204,edge,2
59122529,1756340161,2025-08-28 00:16:01Z,pancake_v2,ETH->WBNB->USDT,USDT,4479.72339583301,4516.770229895001,-82.02063017682448,edge,3
59122529,1756340161,2025-08-28 00:16:01Z,uniswap_v3,ETH->WBNB->USDT (500/500),USDT,4462.7408997780585,4516.770229895001,-119.61939033192314,edge,4
59122529,1756340161,2025-08-28 00:16:01Z,uniswap_v3,ETH->WBNB->USDT (500/3000),USDT,4458.034581222288,4516.770229895001,-130.03904489974127,edge,5
59122529,1756340161,2025-08-28 00:16:01Z,pancake_v2,ETH->USDT,USDT,4436.794155089658,4516.770229895001,-177.064740366929,edge,6
59122529,1756340161,2025-08-28 00:16:01Z,uniswap_v3,ETH->USDC->USDT (3000/100),USDT,4420.438858620444,4516.770229895001,-213.2748985922983,edge,7
59122529,1756340161,2025-08-28 00:16:01Z,uniswap_v3,ETH->USDC->USDT (3000/500),USDT,4419.295202032906,4516.770229895001,-215.8069215408398,edge,8
59122529,1756340161,2025-08-28 00:16:01Z,pancake_v2,ETH->USDT->USDC,USDC,4418.130161758836,4516.770229895001,-218.3862873592701,edge,9
59122529,1756340161,2025-08-28 00:16:01Z,pancake_v2,ETH->USDC,USDC,4402.931746828044,4516.770229895001,-252.0351429733958,edge,10
59122529,1756340161,2025-08-28 00:16:01Z,uniswap_v3,ETH->WBNB->USDC (500/100),USDC,4376.473977013252,4516.770229895001,-310.61188801054016,edge,11
59122529,1756340161,2025-08-28 00:16:01Z,pancake_v2,ETH->USDC->USDT,USDT,4368.258163836677,4516.770229895001,-328.8014632123004,edge,12
59122529,1756340161,2025-08-28 00:16:01Z,biswap_v2,ETH->WBNB->USDT,USDT,4344.321946306896,4516.770229895001,-381.795563667876,edge,13
59122529,1756340161,2025-08-28 00:16:01Z,pancake_v2,ETH->WBNB->USDC,USDC,4330.207488758714,4516.770229895001,-413.04456866433026,edge,14
59122529,1756340161,2025-08-28 00:16:01Z,uniswap_v3,ETH->WBNB->USDT (3000/100),USDT,4313.428862830534,4516.770229895001,-450.1919661943787,edge,15
59122529,1756340161,2025-08-28 00:16:01Z,biswap_v2,ETH->USDT,USDT,4301.285092392158,4516.770229895001,-477.07792633908673,edge,16
59122529,1756340161,2025-08-28 00:16:01Z,uniswap_v3,ETH->WBNB->USDT (3000/500),USDT,4264.724823001929,4516.770229895001,-558.0213162601622,edge,17
59122529,1756340161,2025-08-28 00:16:01Z,uniswap_v3,ETH->WBNB->USDT (3000/3000),USDT,4259.723463194579,4516.770229895001,-569.094183713651,edge,18
59122529,1756340161,2025-08-28 00:16:01Z,uniswap_v3,ETH->WBNB->USDC (3000/100),USDC,4185.479207697984,4516.770229895001,-733.4688401998224,edge,19
59122529,1756340161,2025-08-28 00:16:01Z,biswap_v2,ETH->USDT->USDC,USDC,4135.594887598378,4516.770229895001,-843.9112970010076,edge,20
59122529,1756340161,2025-08-28 00:16:01Z,biswap_v2,ETH->WBNB->USDC,USDC,3778.0134053862903,4516.770229895001,-1635.5864631305005,edge,21
59122529,1756340161,2025-08-28 00:16:01Z,uniswap_v3,ETH->WBNB->USDC (500/3000),USDC,2996.17471255225,4516.770229895001,-3366.5549495487603,edge,22
59122529,1756340161,2025-08-28 00:16:01Z,uniswap_v3,ETH->WBNB->USDC (3000/3000),USDC,2913.234764772507,4516.770229895001,-3550.181619842483,edge,23
59122529,1756340161,2025-08-28 00:16:01Z,uniswap_v3,ETH->USDC->USDT (3000/3000),USDT,2804.1616448098307,4516.770229895001,-3791.666385307765,edge,24
59122529,1756340161,2025-08-28 00:16:01Z,uniswap_v3,ETH->WBNB->USDC (500/500),USDC,1747.3948075682886,4516.770229895001,-6131.317913842809,edge,25
59122529,1756340161,2025-08-28 00:16:01Z,uniswap_v3,ETH->WBNB->USDC (3000/500),USDC,1747.3691901739924,4516.770229895001,-6131.374630020503,edge,26
59122529,1756340161,2025-08-28 00:16:01Z,uniswap_v3,ETH->USDC->USDT (500/100),USDT,478.56376301985114,4516.770229895001,-8940.473527184542,edge,27
59122529,1756340161,2025-08-28 00:16:01Z,uniswap_v3,ETH->USDC->USDT (500/500),USDT,478.5042217788943,4516.770229895001,-8940.6053497877,edge,28
59122529,1756340161,2025-08-28 00:16:01Z,uniswap_v3,ETH->USDC->USDT (500/3000),USDT,478.01585219366024,4516.770229895001,-8941.686586070215,edge,29
59122529,1756340161,2025-08-28 00:16:01Z,uniswap_v3,ETH->USDC->USDT (100/100),USDT,0.12647285798536992,4516.770229895001,-9999.719992712608,edge,30
59122529,1756340161,2025-08-28 00:16:01Z,uniswap_v3,ETH->USDC->USDT (100/500),USDT,0.12646281149163305,4516.770229895001,-9999.720014955255,edge,31
59122529,1756340161,2025-08-28 00:16:01Z,uniswap_v3,ETH->USDC->USDT (100/3000),USDT,0.12642257162177298,4516.770229895001,-9999.720104045176,edge,32
59122529,1756340161,2025-08-28 00:16:01Z,biswap_v2,ETH->USDC,USDC,0.07451859163143412,4516.770229895001,-9999.835017971163,edge,33
59122529,1756340161,2025-08-28 00:16:01Z,biswap_v2,ETH->USDC->USDT,USDT,0.0744537834569452,4516.770229895001,-9999.835161454608,edge,34
59123726,1756341058,2025-08-28 00:30:58Z,uniswap_v3,ETH->WBNB->USDT (500/100),USDT,4488.513431465713,4496.451777985,-17.65469065664993,edge,1
59123726,1756341058,2025-08-28 00:30:58Z,combo_best_then_wombat,ETH->WBNB->USDT (500/100) -> (WombatRouter) USDT->USDC,USDC,4484.009210891404,4496.451777985,-27.671968271774094,edge,2
59123726,1756341058,2025-08-28 00:30:58Z,pancake_v2,ETH->WBNB->USDT,USDT,4463.700108972647,4496.451777985,-72.83891972934664,edge,3
59123726,1756341058,2025-08-28 00:30:58Z,uniswap_v3,ETH->WBNB->USDT (500/3000),USDT,4443.97524347273,4496.451777985,-116.70654352216148,edge,4
59123726,1756341058,2025-08-28 00:30:58Z,uniswap_v3,ETH->WBNB->USDT (500/500),USDT,4440.802592756115,4496.451777985,-123.76244198002651,edge,5
59123726,1756341058,2025-08-28 00:30:58Z,pancake_v2,ETH->USDT,USDT,4414.251475525396,4496.451777985,-182.8114845177786,edge,6
59123726,1756341058,2025-08-28 00:30:58Z,uniswap_v3,ETH->USDC->USDT (3000/100),USDT,4399.487120582631,4496.451777985,-215.64705280976426,edge,7
59123726,1756341058,2025-08-28 00:30:58Z,uniswap_v3,ETH->USDC->USDT (3000/500),USDT,4398.344285379121,4496.451777985,-218.18869066098202,edge,8
59123726,1756341058,2025-08-28 00:30:58Z,pancake_v2,ETH->USDT->USDC,USDC,4395.600103966315,4496.451777985,-224.29168375042607,edge,9
59123726,1756341058,2025-08-28 00:30:58Z,pancake_v2,ETH->USDC,USDC,4380.467891300904,4496.451777985,-257.94535872032066,edge,10
59123726,1756341058,2025-08-28 00:30:58Z,uniswap_v3,ETH->WBNB->USDC (500/100),USDC,4354.837613631891,4496.451777985,-314.9464763448895,edge,11
59123726,1756341058,2025-08-28 00:30:58Z,pancake_v2,ETH->USDC->USDT,USDT,4346.209799440856,4496.451777985,-334.13452642757414,edge,12
59123726,1756341058,2025-08-28 00:30:58Z,biswap_v2,ETH->WBNB->USDT,USDT,4325.497881511297,4496.451777985,-380.1973309503892,edge,13
59123726,1756341058,2025-08-28 00:30:58Z,pancake_v2,ETH->WBNB->USDC,USDC,4316.55192585023,4496.451777985,-400.0929199676395,edge,14
59123726,1756341058,2025-08-28 00:30:58Z,uniswap_v3,ETH->WBNB->USDT (3000/100),USDT,4288.242817159112,4496.451777985,-463.0516929933437,edge,15
59123726,1756341058,2025-08-28 00:30:58Z,biswap_v2,ETH->USDT,USDT,4281.236411308427,4496.451777985,-478.6337701435739,edge,16
59123726,1756341058,2025-08-28 00:30:58Z,uniswap_v3,ETH->WBNB->USDT (3000/3000),USDT,4247.301133747146,4496.451777985,-554.1050066581743,edge,17
59123726,1756341058,2025-08-28 00:30:58Z,uniswap_v3,ETH->WBNB->USDT (3000/500),USDT,4244.497018461296,4496.451777985,-560.3412912316685,edge,18
59123726,1756341058,2025-08-28 00:30:58Z,uniswap_v3,ETH->WBNB->USDC (3000/100),USDC,4165.672215600004,4496.451777985,-735.6457462849264,edge,19
59123726,1756341058,2025-08-28 00:30:58Z,biswap_v2,ETH->USDT->USDC,USDC,4117.0369305177355,4496.451777985,-843.8094439818333,edge,20
59123726,1756341058,2025-08-28 00:30:58Z,biswap_v2,ETH->WBNB->USDC,USDC,3763.9260544139993,4496.451777985,-1629.1194918569074,edge,21
59123726,1756341058,2025-08-28 00:30:58Z,uniswap_v3,ETH->WBNB->USDC (500/3000),USDC,2989.0686960319745,4496.451777985,-3352.383515671842,edge,22
59123726,1756341058,2025-08-28 00:30:58Z,uniswap_v3,ETH->WBNB->USDC (3000/3000),USDC,2906.6935852666643,4496.451777985,-3535.583769633478,edge,23
59123726,1756341058,2025-08-28 00:30:58Z,uniswap_v3,ETH->USDC->USDT (3000/3000),USDT,2804.161636218319,4496.451777985,-3763.612344409594,edge,24
59123726,1756341058,2025-08-28 00:30:58Z,uniswap_v3,ETH->WBNB->USDC (500/500),USDC,1712.8389408536586,4496.451777985,-6190.687623428188,edge,25
59123726,1756341058,2025-08-28 00:30:58Z,uniswap_v3,ETH->WBNB->USDC (3000/500),USDC,1712.8143259893106,4496.451777985,-6190.742366291147,edge,26
59123726,1756341058,2025-08-28 00:30:58Z,uniswap_v3,ETH->USDC->USDT (500/100),USDT,468.78446549585215,4496.451777985,-8957.434687076908,edge,27
59123726,1756341058,2025-08-28 00:30:58Z,uniswap_v3,ETH->USDC->USDT (500/500),USDT,468.72560445379617,4496.451777985,-8957.565592610788,edge,28
59123726,1756341058,2025-08-28 00:30:58Z,uniswap_v3,ETH->USDC->USDT (500/3000),USDT,468.25410734284264,4496.451777985,-8958.6141907816,edge,29
59123726,1756341058,2025-08-28 00:30:58Z,uniswap_v3,ETH->USDC->USDT (100/100),USDT,0.12647307397480426,4496.451777985,-9999.718726942443,edge,30
59123726,1756341058,2025-08-28 00:30:58Z,uniswap_v3,ETH->USDC->USDT (100/500),USDT,0.12646281149163305,4496.451777985,-9999.718749765958,edge,31
59123726,1756341058,2025-08-28 00:30:58Z,uniswap_v3,ETH->USDC->USDT (100/3000),USDT,0.12642257162177298,4496.451777985,-9999.718839258456,edge,32
59123726,1756341058,2025-08-28 00:30:58Z,biswap_v2,ETH->USDC,USDC,0.07451859163143412,4496.451777985,-9999.83427245457,edge,33
59123726,1756341058,2025-08-28 00:30:58Z,biswap_v2,ETH->USDC->USDT,USDT,0.0744537834569452,4496.451777985,-9999.834416586382,edge,34
59124940,1756341969,2025-08-28 00:46:09Z,uniswap_v3,ETH->WBNB->USDT (500/100),USDT,4499.191158671169,4498.31356463,1.9509401213602118,edge,1
59124940,1756341969,2025-08-28 00:46:09Z,combo_best_then_wombat,ETH->WBNB->USDT (500/100) -> (WombatRouter) USDT->USDC,USDC,4494.673883753392,4498.31356463,-8.091212016045901,edge,2
59124940,1756341969,2025-08-28 00:46:09Z,pancake_v2,ETH->WBNB->USDT,USDT,4451.198128130212,4498.31356463,-104.7402228031713,edge,3
59124940,1756341969,2025-08-28 00:46:09Z,uniswap_v3,ETH->WBNB->USDT (500/500),USDT,4448.21869445305,4498.31356463,-111.36366875542537,edge,4
59124940,1756341969,2025-08-28 00:46:09Z,uniswap_v3,ETH->WBNB->USDT (500/3000),USDT,4444.774322335674,4498.31356463,-119.02069859091702,edge,5
59124940,1756341969,2025-08-28 00:46:09Z,pancake_v2,ETH->USDT,USDT,4416.330878837469,4498.31356463,-182.25204760547675,edge,6
59124940,1756341969,2025-08-28 00:46:09Z,uniswap_v3,ETH->USDC->USDT (3000/100),USDT,4401.199335951096,4498.31356463,-215.890304852262,edge,7
59124940,1756341969,2025-08-28 00:46:09Z,uniswap_v3,ETH->USDC->USDT (3000/500),USDT,4399.9485642853315,4498.31356463,-218.67083948550635,edge,8
59124940,1756341969,2025-08-28 00:46:09Z,pancake_v2,ETH->USDT->USDC,USDC,4395.612192589235,4498.31356463,-228.3108337495643,edge,9
59124940,1756341969,2025-08-28 00:46:09Z,pancake_v2,ETH->USDC,USDC,4383.03768200992,4498.31356463,-256.26466666638817,edge,10
59124940,1756341969,2025-08-28 00:46:09Z,uniswap_v3,ETH->WBNB->USDC (500/100),USDC,4362.696871018796,4498.31356463,-301.48341520153446,edge,11
59124940,1756341969,2025-08-28 00:46:09Z,pancake_v2,ETH->USDC->USDT,USDT,4350.780163337798,4498.31356463,-327.9749158712486,edge,12
59124940,1756341969,2025-08-28 00:46:09Z,biswap_v2,ETH->WBNB->USDT,USDT,4316.41527031367,4498.31356463,-404.3699748870033,edge,13
59124940,1756341969,2025-08-28 00:46:09Z,pancake_v2,ETH->WBNB->USDC,USDC,4302.132935034845,4498.31356463,-436.12039662533243,edge,14
59124940,1756341969,2025-08-28 00:46:09Z,uniswap_v3,ETH->WBNB->USDT (3000/100),USDT,4293.548726078923,4498.31356463,-455.20356820194064,edge,15
59124940,1756341969,2025-08-28 00:46:09Z,biswap_v2,ETH->USDT,USDT,4284.816667182701,4498.31356463,-474.6154183781526,edge,16
59124940,1756341969,2025-08-28 00:46:09Z,uniswap_v3,ETH->WBNB->USDT (3000/500),USDT,4246.820154361186,4498.31356463,-559.0837691847306,edge,17
59124940,1756341969,2025-08-28 00:46:09Z,uniswap_v3,ETH->WBNB->USDT (3000/3000),USDT,4243.274778560108,4498.31356463,-566.9653357988391,edge,18
59124940,1756341969,2025-08-28 00:46:09Z,uniswap_v3,ETH->WBNB->USDC (3000/100),USDC,4168.57804999817,4498.31356463,-733.0202972610056,edge,19
59124940,1756341969,2025-08-28 00:46:09Z,biswap_v2,ETH->USDT->USDC,USDC,4120.525720412238,4498.31356463,-839.8432852442461,edge,20
59124940,1756341969,2025-08-28 00:46:09Z,biswap_v2,ETH->WBNB->USDC,USDC,3757.2674659894446,4498.31356463,-1647.3864882772093,edge,21
59124940,1756341969,2025-08-28 00:46:09Z,uniswap_v3,ETH->WBNB->USDC (500/3000),USDC,2980.218590701579,4498.31356463,-3374.8091415083213,edge,22
59124940,1756341969,2025-08-28 00:46:09Z,uniswap_v3,ETH->WBNB->USDC (3000/3000),USDC,2896.003404389584,4498.31356463,-3562.02416131969,edge,23
59124940,1756341969,2025-08-28 00:46:09Z,uniswap_v3,ETH->USDC->USDT (3000/3000),USDT,2804.161636884396,4498.31356463,-3766.19349319405,edge,24
59124940,1756341969,2025-08-28 00:46:09Z,uniswap_v3,ETH->WBNB->USDC (500/500),USDC,1713.1660669014475,4498.31356463,-6191.537023181351,edge,25
59124940,1756341969,2025-08-28 00:46:09Z,uniswap_v3,ETH->WBNB->USDC (3000/500),USDC,1713.1408766094605,4498.31356463,-6191.59302259452,edge,26
59124940,1756341969,2025-08-28 00:46:09Z,uniswap_v3,ETH->USDC->USDT (500/100),USDT,470.9570359245932,4498.31356463,-8953.036445418782,edge,27
59124940,1756341969,2025-08-28 00:46:09Z,uniswap_v3,ETH->USDC->USDT (500/500),USDT,470.8863630761927,4498.31356463,-8953.193555071957,edge,28
59124940,1756341969,2025-08-28 00:46:09Z,uniswap_v3,ETH->USDC->USDT (500/3000),USDT,470.4111628595563,4498.31356463,-8954.249951452086,edge,29
59124940,1756341969,2025-08-28 00:46:09Z,uniswap_v3,ETH->USDC->USDT (100/100),USDT,0.12647615732741987,4498.31356463,-9999.718836502814,edge,30
59124940,1756341969,2025-08-28 00:46:09Z,uniswap_v3,ETH->USDC->USDT (100/500),USDT,0.12646281149163305,4498.31356463,-9999.718866171344,edge,31
59124940,1756341969,2025-08-28 00:46:09Z,uniswap_v3,ETH->USDC->USDT (100/3000),USDT,0.12642257162177298,4498.31356463,-9999.718955626802,edge,32
59124940,1756341969,2025-08-28 00:46:09Z,biswap_v2,ETH->USDC,USDC,0.07451859163143412,4498.31356463,-9999.834341046793,edge,33
